Species	Arrival	Community	Replicate	NumSenecio	BSenecio	BLegumes	BGrasses	CSenecio	CLegumes	CGrasses	Csoil	NSenecio	NLegumes	NGrasses	Nsoil	deltaNSenecio	deltaNLegumes	deltaNGrasses	deltaNsoil
S. inaequidens	Synchronous1	G	1	20	16.93	0	15.83	40.324207	NA	40.974503	1.72	3.567355	NA	3.499808	0.05	3.012360047	NA	2.785998656	0.383361819
S. inaequidens	Synchronous1	G	2	16	17.9	0	25.43	39.986473	NA	40.551716	1.6	3.728029	NA	3.50878	0.04	3.109621725	NA	3.153616421	0.697225986
S. inaequidens	Synchronous1	G	3	15	23.64	0	29.41	40.318657	NA	41.432877	1.22	3.687717	NA	3.707287	0.03	2.524700842	NA	2.567185946	1.445766923
S. inaequidens	Synchronous1	G	4	14	16.04	0	22.66	40.041149	NA	40.949883	1.23	3.841784	NA	3.540114	0.03	3.444050132	NA	3.76235379	1.278971774
S. inaequidens	Synchronous1	G	5	17	18.91	0	26.06	39.810112	NA	41.091858	1.1	3.64302	NA	3.76855	0.03	4.558970419	NA	3.599864161	0.717248534
S. inaequidens	Synchronous1	GL	1	14	11.45	17.97	6.57	39.084995	41.253719	40.583469	1.43	3.606864	2.959604	3.241298	0.04	3.979966602	1.367826299	3.700176179	0.435883133
S. inaequidens	Synchronous1	GL	2	20	13.11	15.29	6.5	40.451969	41.7306615	40.905361	0.9	3.664215	2.9782235	3.339112	0.02	3.102854529	0.917568243	3.009997327	0.552584649
S. inaequidens	Synchronous1	GL	3	12	16.48	13.76	10.33	39.904362	41.427441	38.971085	2.46	3.801383	3.143362	3.709419	0.065	4.085604269	1.198515346	3.57730186	1.317362317
S. inaequidens	Synchronous1	GL	4	10	10.56	16.74	6.99	40.784744	42.325985	41.341061	2.84	3.34693	2.82037	3.305375	0.07	4.638757613	2.315366863	4.262185023	-0.080404218
S. inaequidens	Synchronous1	GL	5	12	14.08	17.5	8.68	40.789593	42.3078	41.650032	1.33	3.605365	2.97183	3.190984	0.04	3.477809469	1.42575627	3.871455112	0.672037422
S. inaequidens	Synchronous2	G	1	14	3.22	0	3.36	32.295513	NA	37.028015	1.75	6.071835	NA	4.630702	0.05	5.379352052	NA	3.598153833	0.199493537
S. inaequidens	Synchronous2	G	2	10	0.6399	0	8.19	33.80265	NA	38.412086	1.94	5.96997	NA	5.105575	0.05	4.498199227	NA	2.491473881	0.370593659
S. inaequidens	Synchronous2	G	3	9	2.14	0	5.97	32.218285	NA	36.650688	2.4	6.632992	NA	5.248972	0.06	6.485058524	NA	5.789636779	0.262223121
S. inaequidens	Synchronous2	G	4	15	2.66	0	12.04	34.215065	NA	38.749481	2.95	6.237654	NA	5.311694	0.07	4.174051264	NA	3.231914207	0.682062949
S. inaequidens	Synchronous2	G	5	15	4.85	0	10.52	38.507059	NA	40.956051	1.325	4.3786015	NA	3.902723	0.035	7.081581127	NA	5.847331842	0.153261272
S. inaequidens	Synchronous2	GL	1	15	4.96	4.3	5.1	33.698524	39.957287	39.013901	3.575	6.031644	4.421171	5.287074	0.095	4.388000021	2.147978369	2.88327847	0.506665767
S. inaequidens	Synchronous2	GL	2	13	2.22	5.6	5.25	33.753178	39.248245	38.427113	2.635	5.778726	4.517257	5.367649	0.07	5.411974683	2.491859894	4.080825006	0.643413141
S. inaequidens	Synchronous2	GL	3	20	2.1	2.49	1.17	30.990438	38.469738	35.610722	1.98	6.564557	4.833992	4.821341	0.05	5.168045786	2.642414593	4.943646834	0.266351282
S. inaequidens	Synchronous2	GL	4	10	0.5198	3.73	1.89	31.747164	39.3652	38.2799035	1.96	6.428709	4.610775	4.8043625	0.05	7.425210349	5.669824807	6.795394134	0.14916887
S. inaequidens	Synchronous2	GL	5	14	1.04	2.51	0.7898	27.183582	38.772442	37.417126	1.93	4.521926	4.136271	4.082212	0.05	6.495344057	3.228237398	4.391751557	0.147510984
S. inaequidens	Early	G	1	17	31.88	0	0.61	40.476265	NA	42.252964	1.25	3.527905	NA	3.42805	0.04	2.338260475	NA	3.579254849	0.792311608
S. inaequidens	Early	G	2	13	29.35	0	0.8	38.494217	NA	30.828014	1.21	3.625232	NA	2.683582	0.04	3.590389916	NA	3.537657133	0.783675537
S. inaequidens	Early	G	3	14	33.15	0	0.41	40.427124	NA	40.685268	1.47	3.531945	NA	3.552865	0.04	3.03849593	NA	4.275989507	0.490183777
S. inaequidens	Early	G	4	16	31.9	0	0.14	38.276253	NA	38.132118	1.11	3.86398	NA	3.363221	0.03	3.004615088	NA	3.300657782	0.15808848
S. inaequidens	Early	G	5	11	27.03	0	0.73	39.883698	NA	38.35363	1.29	3.621601	NA	3.007643	0.04	2.983079069	NA	4.204193168	0.717257259
S. inaequidens	Early	GL	1	12	29.59	1.09	0.5769	38.642048	39.759876	39.1489105	1.18	3.649735	3.434721	4.642258	0.03	3.581181166	1.11285615	2.4106852	0.41467041
S. inaequidens	Early	GL	2	11	23.63	1.92	0.8689	38.878094	40.525295	39.536339	0.95	3.926458	3.492128	4.364867	0.03	4.590995074	3.10715469	4.687071443	0.936290098
S. inaequidens	Early	GL	3	16	29.26	1.54	0.9476	39.10508	35.778183	34.978485	1.35	3.677128	2.97728	3.661584	0.04	6.323641716	3.694526949	6.112504838	-0.14039445
S. inaequidens	Early	GL	4	10	27.31	1.25	0.2798	37.2254445	40.716206	38.633221	1.125	3.8271015	3.25824	3.674112	0.03	6.687941958	3.396122939	5.436290671	0.387944899
S. inaequidens	Early	GL	5	16	46.31	1.42	0.5675	39.468792	38.501461	39.468494	1.54	3.898015	3.383845	4.332224	0.04	3.726602117	2.442717863	2.771252807	1.206617283
S. inaequidens	Late	G	1	12	0.02308	0	39.57	35.4279955	NA	41.485973	1.13	4.057895	NA	3.15553	0.03	NA	NA	4.063092523	0.265594794
S. inaequidens	Late	G	2	10	0.05437	0	43.44	NA	NA	42.448437	1.27	NA	NA	2.583349	0.04	NA	NA	4.149155828	0.337018389
S. inaequidens	Late	G	3	18	0.01438	0	35.26	28.179258	NA	38.148743	1.84	3.901167	NA	3.93175	0.05	NA	NA	3.897362666	1.193307794
